age,working_sector,financial_weight,qualification,years_of_education,loan_taken,marital_status,occupation,relationship,ethnicity,gender,gain,loss,working_hours,country,target
39.0,state,77516.0,Bachelors,EDL4,0,Never-married,clerical, Not-in-family, White, Male,2174.0,0.0,40.0, United-States,0
50.0,self_employed,83311.0,Bachelors,EDL4,0,Married-civilian,managerial, Husband, White, Male,0.0,0.0,13.0, United-States,0
38.0,private,215646.0,HighGrad,EDL2,0,Divorced,cleaner, Not-in-family, White, Male,0.0,0.0,40.0, United-States,0
53.0,private,234721.0,dropout,EDL1,0,Married-civilian,cleaner, Husband, Black, Male,0.0,0.0,40.0, United-States,0
28.0,private,338409.0,Bachelors,EDL4,0,Married-civilian,specialty, Wife, Black, Female,0.0,0.0,40.0, Cuba,0
37.0,private,284582.0,Masters,EDL5,0,Married-civilian,managerial, Wife, White, Female,0.0,0.0,40.0, United-States,0
49.0,private,160187.0,dropout,EDL1,0,Married-non-resident,other, Not-in-family, Black, Female,0.0,0.0,16.0, Jamaica,0
23.0,private,122272.0,Bachelors,EDL4,0,Never-married,clerical, Own-child, White, Female,0.0,0.0,30.0, United-States,0
32.0,private,205019.0,CommunityCollege,EDL4,0,Never-married,sales, Not-in-family, Black, Male,0.0,0.0,50.0, United-States,0
34.0,private,245487.0,dropout,EDL1,0,Married-civilian,transport, Husband, Amer-Indian-Eskimo, Male,0.0,0.0,45.0, Mexico,0
25.0,self_employed,176756.0,HighGrad,EDL2,0,Never-married,farming, Own-child, White, Male,0.0,0.0,35.0, United-States,0
32.0,private,186824.0,HighGrad,EDL2,0,Never-married,inspector, Unmarried, White, Male,0.0,0.0,40.0, United-States,0
38.0,private,28887.0,dropout,EDL1,0,Married-civilian,sales, Husband, White, Male,0.0,0.0,50.0, United-States,0
54.0,private,302146.0,HighGrad,EDL2,0,Separated,other, Unmarried, Black, Female,0.0,0.0,20.0, United-States,0
35.0,national,76845.0,dropout,EDL1,0,Married-civilian,farming, Husband, Black, Male,0.0,0.0,40.0, United-States,0
43.0,private,117037.0,dropout,EDL1,0,Married-civilian,transport, Husband, White, Male,0.0,2042.0,40.0, United-States,0
59.0,private,109015.0,HighGrad,EDL2,0,Divorced,support, Unmarried, White, Female,0.0,0.0,40.0, United-States,0
19.0,private,168294.0,HighGrad,EDL2,0,Never-married,repair, Own-child, White, Male,0.0,0.0,40.0, United-States,0
39.0,private,367260.0,HighGrad,EDL2,0,Divorced,managerial, Not-in-family, White, Male,0.0,0.0,80.0, United-States,0
49.0,private,193366.0,HighGrad,EDL2,0,Married-civilian,repair, Husband, White, Male,0.0,0.0,40.0, United-States,0
23.0,local_body,190709.0,CommunityCollege,EDL4,0,Never-married,guard, Not-in-family, White, Male,0.0,0.0,52.0, United-States,0
20.0,private,266015.0,CommunityCollege,EDL3,0,Never-married,sales, Own-child, Black, Male,0.0,0.0,44.0, United-States,0
45.0,private,386940.0,Bachelors,EDL4,0,Divorced,managerial, Own-child, White, Male,0.0,1408.0,40.0, United-States,0
30.0,national,59951.0,CommunityCollege,EDL3,0,Married-civilian,clerical, Own-child, White, Male,0.0,0.0,40.0, United-States,0
22.0,state,311512.0,CommunityCollege,EDL3,0,Married-civilian,other, Husband, Black, Male,0.0,0.0,15.0, United-States,0
48.0,private,242406.0,dropout,EDL1,0,Never-married,inspector, Unmarried, White, Male,0.0,0.0,40.0, Puerto-Rico,0
21.0,private,197200.0,CommunityCollege,EDL3,0,Never-married,inspector, Own-child, White, Male,0.0,0.0,40.0, United-States,0
19.0,private,544091.0,HighGrad,EDL2,1,Married-defence,clerical, Wife, White, Female,0.0,0.0,25.0, United-States,0
48.0,self_employed,265477.0,CommunityCollege,EDL4,1,Married-civilian,specialty, Husband, White, Male,0.0,0.0,40.0, United-States,0
31.0,private,507875.0,dropout,EDL1,0,Married-civilian,inspector, Husband, White, Male,0.0,0.0,43.0, United-States,0
53.0,self_employed,88506.0,Bachelors,EDL4,0,Married-civilian,specialty, Husband, White, Male,0.0,0.0,40.0, United-States,0
